feature,index,weight,rank
lowlevel.melbands128.skew[39].vocal,203,0.0012066756396282858,*
lowlevel.melbands128.kurt[53].vocal,180,0.0012066756396282858,*
lowlevel.gfcc.max[5].vocal,142,0.0012066756396282858,*
lowlevel.gfcc.kurt[13].vocal,140,0.0012066756396282858,*
lowlevel.gfcc.kurt[11].vocal,138,0.0012066756396282858,*
lowlevel.melbands.kurt[22].vocal,168,0.0012066756396282858,*
lowlevel.erbbands.var[31].vocal,127,0.0012066756396282858,*
lowlevel.erbbands.var[16].vocal,126,0.0012066756396282858,*
lowlevel.melbands128.kurt[1].vocal,171,0.0012066756396282858,*
lowlevel.melbands128.kurt[5].vocal,172,0.0012066756396282858,*
lowlevel.erbbands.var[10].vocal,125,0.0012066756396282858,*
lowlevel.melbands128.kurt[35].vocal,174,0.0012066756396282858,*
lowlevel.melbands128.kurt[40].vocal,175,0.0012066756396282858,*
lowlevel.melbands128.kurt[44].vocal,176,0.0012066756396282858,*
lowlevel.melbands128.kurt[45].vocal,177,0.0012066756396282858,*
lowlevel.melbands128.kurt[46].vocal,178,0.0012066756396282858,*
lowlevel.melbands128.kurt[48].vocal,179,0.0012066756396282858,*
lowlevel.melbands128.skew[38].vocal,202,0.0012066756396282858,*
lowlevel.melbands128.skew[49].vocal,205,0.0012066756396282858,*
lowlevel.erbbands.dvar[19].vocal,90,0.0012066756396282858,*
lowlevel.erbbands.kurt[15].vocal,102,0.0012066756396282858,*
lowlevel.erbbands.kurt[14].vocal,101,0.0012066756396282858,*
lowlevel.loudness_ebu128.short_term.kurt.vocal,25,0.0012066756396282858,*
lowlevel.erbbands.kurt[13].vocal,100,0.0012066756396282858,*
lowlevel.loudness_ebu128.momentary.kurt.vocal,23,0.0012066756396282858,*
lowlevel.erbbands.dvar2[32].vocal,99,0.0012066756396282858,*
lowlevel.erbbands.dvar2[29].vocal,98,0.0012066756396282858,*
lowlevel.erbbands.dvar2[25].vocal,97,0.0012066756396282858,*
lowlevel.erbbands.dvar2[24].vocal,96,0.0012066756396282858,*
lowlevel.erbbands.dvar2[23].vocal,95,0.0012066756396282858,*
lowlevel.erbbands.dvar2[13].vocal,94,0.0012066756396282858,*
lowlevel.erbbands.dvar2[12].vocal,93,0.0012066756396282858,*
lowlevel.erbbands.dvar2[9].vocal,92,0.0012066756396282858,*
lowlevel.erbbands.dvar2[3].vocal,91,0.0012066756396282858,*
lowlevel.spectral_contrast_coeffs.kurt[4].vocal,242,0.0012066756396282858,*
lowlevel.spectral_contrast_coeffs.kurt[6].vocal,243,0.0012066756396282858,*
lowlevel.melbands_flatness_db.min.vocal,26,0.0012066756396282858,*
lowlevel.erbbands.kurt[16].vocal,103,0.0012066756396282858,*
lowlevel.melbands128.skew[50].vocal,206,0.0012066756396282858,*
lowlevel.melbands_kurtosis.dvar.vocal,27,0.0012066756396282858,*
lowlevel.melbands128.skew[51].vocal,207,0.0012066756396282858,*
lowlevel.erbbands.median[17].vocal,115,0.0012066756396282858,*
lowlevel.melbands128.skew[84].vocal,209,0.0012066756396282858,*
lowlevel.melbands128.skew[86].vocal,210,0.0012066756396282858,*
lowlevel.erbbands.median[9].vocal,114,0.0012066756396282858,*
lowlevel.erbbands.median[8].vocal,113,0.0012066756396282858,*
lowlevel.mfcc.kurt[3].vocal,213,0.0012066756396282858,*
lowlevel.erbbands.median[7].vocal,112,0.0012066756396282858,*
lowlevel.mfcc.kurt[7].vocal,215,0.0012066756396282858,*
lowlevel.erbbands.median[5].vocal,111,0.0012066756396282858,*
lowlevel.erbbands.median[4].vocal,110,0.0012066756396282858,*
lowlevel.erbbands.mean[28].vocal,109,0.0012066756396282858,*
lowlevel.erbbands.mean[8].vocal,107,0.0012066756396282858,*
lowlevel.erbbands.max[38].vocal,105,0.0012066756396282858,*
lowlevel.erbbands.max[1].vocal,104,0.0012066756396282858,*
lowlevel.melbands128.kurt[54].vocal,181,0.0012066756396282858,*
