feature,index,weight,rank
tonal.chords_histogram[16].accompaniment,320,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.min[2].accompaniment,305,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.min[4].accompaniment,307,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.kurt[4].accompaniment,296,0.0021717873405535026,*
tonal.chords_histogram[11].accompaniment,319,0.0021717873405535026,*
tonal.chords_histogram[10].accompaniment,318,0.0021717873405535026,*
tonal.chords_histogram[9].accompaniment,317,0.0021717873405535026,*
tonal.chords_histogram[2].accompaniment,310,0.0021717873405535026,*
tonal.chords_histogram[8].accompaniment,316,0.0021717873405535026,*
tonal.chords_histogram[5].accompaniment,313,0.0021717873405535026,*
tonal.chords_histogram[6].accompaniment,314,0.0021717873405535026,*
tonal.chords_histogram[22].accompaniment,325,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.kurt[3].accompaniment,295,0.0021717873405535026,*
tonal.hpcp.kurt[16].accompaniment,344,0.0021717873405535026,*
tonal.chords_histogram[7].accompaniment,315,0.0021717873405535026,*
tonal.hpcp.kurt[15].accompaniment,343,0.0021717873405535026,*
lowlevel.spectral_contrast_valleys.kurt[6].accompaniment,286,0.0021717873405535026,*
lowlevel.spectral_contrast_valleys.max[1].accompaniment,287,0.0021717873405535026,*
lowlevel.spectral_contrast_valleys.max[2].accompaniment,288,0.0021717873405535026,*
lowlevel.spectral_contrast_valleys.min[6].accompaniment,290,0.0021717873405535026,*
tonal.hpcp.kurt[10].accompaniment,340,0.0021717873405535026,*
tonal.hpcp.kurt[9].accompaniment,339,0.0021717873405535026,*
tonal.hpcp.kurt[8].accompaniment,338,0.0021717873405535026,*
rhythm.beats_loudness_band_ratio.kurt[2].accompaniment,294,0.0021717873405535026,*
tonal.hpcp.kurt[6].accompaniment,337,0.0021717873405535026,*
tonal.hpcp.kurt[5].accompaniment,336,0.0021717873405535026,*
tonal.hpcp.kurt[3].accompaniment,335,0.0021717873405535026,*
tonal.hpcp.kurt[1].accompaniment,334,0.0021717873405535026,*
tonal.chords_histogram[24].accompaniment,327,0.0021717873405535026,*
tonal.hpcp.var[16].accompaniment,373,0.0021717873405535026,*
tonal.chords_histogram[23].accompaniment,326,0.0021717873405535026,*
tonal.chords_histogram[4].accompaniment,312,0.0021717873405535026,*
lowlevel.barkbands_crest.kurt.accompaniment,0,0.0021717873405535026,*
lowlevel.spectral_contrast_coeffs.kurt[1].accompaniment,262,0.0021717873405535026,*
lowlevel.erbbands.skew[7].accompaniment,98,0.0021717873405535026,*
tonal.chords_strength.min.accompaniment,66,0.0021717873405535026,*
tonal.chords_strength.skew.accompaniment,67,0.0021717873405535026,*
tonal.chords_strength.var.accompaniment,68,0.0021717873405535026,*
tonal.hpcp_crest.max.accompaniment,69,0.0021717873405535026,*
tonal.hpcp_entropy.kurt.accompaniment,70,0.0021717873405535026,*
lowlevel.barkbands.max[12].accompaniment,79,0.0021717873405535026,*
lowlevel.barkbands.mean[10].accompaniment,81,0.0021717873405535026,*
lowlevel.erbbands.dvar2[4].accompaniment,85,0.0021717873405535026,*
lowlevel.erbbands.dvar2[19].accompaniment,86,0.0021717873405535026,*
lowlevel.erbbands.dvar2[20].accompaniment,87,0.0021717873405535026,*
lowlevel.erbbands.dvar2[23].accompaniment,88,0.0021717873405535026,*
lowlevel.erbbands.dvar2[24].accompaniment,89,0.0021717873405535026,*
lowlevel.erbbands.kurt[38].accompaniment,90,0.0021717873405535026,*
lowlevel.erbbands.mean[12].accompaniment,96,0.0021717873405535026,*
lowlevel.erbbands.var[4].accompaniment,99,0.0021717873405535026,*
lowlevel.gfcc.mean[9].accompaniment,124,0.0021717873405535026,*
lowlevel.erbbands.var[6].accompaniment,100,0.0021717873405535026,*
lowlevel.erbbands.var[13].accompaniment,101,0.0021717873405535026,*
lowlevel.erbbands.var[16].accompaniment,102,0.0021717873405535026,*
lowlevel.erbbands.var[25].accompaniment,103,0.0021717873405535026,*
lowlevel.gfcc.kurt[2].accompaniment,105,0.0021717873405535026,*
lowlevel.gfcc.kurt[5].accompaniment,108,0.0021717873405535026,*
lowlevel.gfcc.kurt[6].accompaniment,109,0.0021717873405535026,*
lowlevel.gfcc.kurt[7].accompaniment,110,0.0021717873405535026,*
lowlevel.gfcc.kurt[8].accompaniment,111,0.0021717873405535026,*
lowlevel.gfcc.kurt[9].accompaniment,112,0.0021717873405535026,*
lowlevel.gfcc.kurt[10].accompaniment,113,0.0021717873405535026,*
lowlevel.gfcc.kurt[11].accompaniment,114,0.0021717873405535026,*
lowlevel.gfcc.kurt[12].accompaniment,115,0.0021717873405535026,*
