numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
48,0.038,0.009,0.009,0.002,0.602,0.054,0.601,0.053,0.602,0.054,0.602,0.054,0.609,0.054,0.602,0.054,0.602,0.054
49,0.037,0.008,0.009,0.002,0.599,0.055,0.597,0.055,0.599,0.055,0.599,0.055,0.605,0.057,0.599,0.055,0.599,0.055
50,0.039,0.008,0.009,0.002,0.596,0.054,0.594,0.054,0.596,0.054,0.596,0.054,0.602,0.055,0.596,0.054,0.596,0.054
51,0.039,0.008,0.009,0.002,0.600,0.053,0.599,0.052,0.600,0.053,0.600,0.053,0.607,0.054,0.600,0.053,0.600,0.053
52,0.040,0.008,0.009,0.002,0.600,0.053,0.599,0.053,0.600,0.053,0.600,0.053,0.607,0.054,0.600,0.053,0.600,0.053
53,0.042,0.009,0.009,0.002,0.602,0.052,0.601,0.052,0.602,0.052,0.602,0.052,0.609,0.054,0.602,0.052,0.602,0.052
54,0.044,0.009,0.010,0.002,0.602,0.052,0.600,0.052,0.602,0.052,0.602,0.052,0.608,0.053,0.602,0.052,0.602,0.052
55,0.049,0.008,0.010,0.003,0.606,0.050,0.604,0.049,0.606,0.050,0.606,0.050,0.612,0.051,0.606,0.050,0.606,0.050
56,0.051,0.008,0.011,0.002,0.604,0.052,0.602,0.051,0.604,0.052,0.604,0.052,0.611,0.053,0.604,0.052,0.604,0.052
57,0.047,0.008,0.010,0.002,0.604,0.052,0.602,0.052,0.604,0.052,0.604,0.052,0.610,0.053,0.604,0.052,0.604,0.052
58,0.047,0.008,0.010,0.002,0.604,0.052,0.602,0.052,0.604,0.052,0.604,0.052,0.610,0.053,0.604,0.052,0.604,0.052
59,0.048,0.008,0.010,0.002,0.601,0.050,0.599,0.050,0.601,0.050,0.601,0.050,0.608,0.051,0.601,0.050,0.601,0.050
60,0.052,0.009,0.010,0.002,0.602,0.050,0.600,0.049,0.602,0.050,0.602,0.050,0.609,0.050,0.602,0.050,0.602,0.050
61,0.051,0.008,0.010,0.002,0.602,0.047,0.600,0.047,0.602,0.047,0.602,0.047,0.608,0.047,0.602,0.047,0.602,0.047
62,0.052,0.009,0.010,0.002,0.601,0.047,0.600,0.047,0.601,0.047,0.601,0.047,0.608,0.047,0.601,0.047,0.601,0.047
63,0.057,0.010,0.011,0.002,0.602,0.048,0.600,0.048,0.602,0.048,0.602,0.048,0.608,0.048,0.602,0.048,0.602,0.048
64,0.043,0.010,0.010,0.002,0.601,0.046,0.599,0.046,0.601,0.046,0.601,0.046,0.608,0.047,0.601,0.046,0.601,0.046
65,0.047,0.008,0.010,0.002,0.600,0.047,0.598,0.047,0.600,0.047,0.600,0.047,0.607,0.047,0.600,0.047,0.600,0.047
66,0.047,0.008,0.010,0.002,0.600,0.047,0.598,0.047,0.600,0.047,0.600,0.047,0.607,0.047,0.600,0.047,0.600,0.047
67,0.048,0.007,0.010,0.002,0.601,0.050,0.599,0.051,0.601,0.050,0.601,0.050,0.607,0.051,0.601,0.050,0.601,0.050
68,0.048,0.009,0.010,0.002,0.600,0.051,0.598,0.051,0.600,0.051,0.600,0.051,0.606,0.052,0.600,0.051,0.600,0.051
69,0.045,0.008,0.010,0.002,0.601,0.050,0.599,0.051,0.601,0.050,0.601,0.050,0.607,0.052,0.601,0.050,0.601,0.050
70,0.048,0.008,0.010,0.002,0.601,0.052,0.599,0.053,0.601,0.052,0.601,0.052,0.607,0.053,0.601,0.052,0.601,0.052
71,0.049,0.008,0.010,0.002,0.602,0.052,0.599,0.052,0.602,0.052,0.602,0.052,0.607,0.053,0.602,0.052,0.602,0.052
72,0.050,0.009,0.010,0.002,0.600,0.052,0.598,0.052,0.600,0.052,0.600,0.052,0.606,0.053,0.600,0.052,0.600,0.052
73,0.053,0.009,0.011,0.002,0.600,0.052,0.598,0.053,0.600,0.052,0.600,0.052,0.606,0.053,0.600,0.052,0.600,0.052
74,0.057,0.010,0.011,0.002,0.600,0.052,0.598,0.052,0.600,0.052,0.600,0.052,0.606,0.053,0.600,0.052,0.600,0.052
75,0.053,0.009,0.010,0.002,0.603,0.052,0.601,0.053,0.603,0.052,0.603,0.052,0.608,0.053,0.603,0.052,0.603,0.052
76,0.051,0.008,0.010,0.002,0.603,0.051,0.600,0.052,0.603,0.051,0.603,0.051,0.608,0.052,0.603,0.051,0.603,0.051
77,0.054,0.009,0.011,0.002,0.602,0.052,0.600,0.052,0.602,0.052,0.602,0.052,0.607,0.052,0.602,0.052,0.602,0.052
78,0.054,0.008,0.011,0.002,0.607,0.052,0.605,0.052,0.607,0.052,0.607,0.052,0.612,0.053,0.607,0.052,0.607,0.052
79,0.057,0.010,0.011,0.002,0.607,0.053,0.605,0.053,0.607,0.053,0.607,0.053,0.612,0.054,0.607,0.053,0.607,0.053
80,0.044,0.008,0.009,0.002,0.605,0.053,0.603,0.053,0.605,0.053,0.605,0.053,0.610,0.054,0.605,0.053,0.605,0.053
81,0.045,0.008,0.009,0.002,0.608,0.053,0.606,0.053,0.608,0.053,0.608,0.053,0.613,0.054,0.608,0.053,0.608,0.053
