numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
310,0.158,0.038,0.026,0.010,0.653,0.050,0.652,0.051,0.653,0.050,0.653,0.050,0.661,0.050,0.653,0.050,0.654,0.050
320,0.173,0.054,0.026,0.013,0.651,0.050,0.649,0.050,0.651,0.050,0.651,0.050,0.658,0.050,0.651,0.050,0.651,0.049
330,0.171,0.049,0.026,0.013,0.652,0.050,0.651,0.051,0.652,0.050,0.652,0.050,0.661,0.051,0.652,0.050,0.652,0.050
340,0.190,0.064,0.027,0.015,0.648,0.049,0.647,0.050,0.648,0.049,0.648,0.049,0.657,0.050,0.648,0.049,0.648,0.049
350,0.202,0.051,0.031,0.014,0.650,0.050,0.649,0.051,0.650,0.050,0.650,0.050,0.658,0.051,0.650,0.050,0.650,0.050
360,0.196,0.067,0.031,0.016,0.650,0.053,0.649,0.054,0.650,0.053,0.650,0.053,0.659,0.054,0.650,0.053,0.650,0.053
370,0.204,0.055,0.034,0.015,0.647,0.050,0.645,0.051,0.647,0.050,0.647,0.050,0.655,0.051,0.647,0.050,0.647,0.050
380,0.237,0.085,0.032,0.020,0.645,0.052,0.644,0.053,0.645,0.052,0.645,0.052,0.654,0.053,0.645,0.052,0.645,0.052
390,0.227,0.098,0.032,0.021,0.646,0.050,0.645,0.052,0.646,0.050,0.646,0.050,0.655,0.051,0.646,0.050,0.646,0.050
396,0.256,0.090,0.034,0.021,0.645,0.052,0.643,0.053,0.645,0.052,0.645,0.052,0.653,0.053,0.645,0.052,0.645,0.052
